Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	12.700	183.82	0.0054401	22.121	25.162	90.753	37.203	58.241	306.47	3.5259	24.622	0.035451	supercritical
160.00	12.733	184.37	0.0054237	22.116	25.155	90.719	37.210	58.292	306.49	3.5223	24.638	0.035482	supercritical
160.00	12.767	184.93	0.0054074	22.110	25.148	90.685	37.218	58.344	306.51	3.5186	24.654	0.035513	supercritical
160.00	12.800	185.49	0.0053912	22.104	25.141	90.651	37.225	58.395	306.54	3.5149	24.670	0.035544	supercritical
160.00	12.833	186.04	0.0053751	22.099	25.134	90.617	37.232	58.447	306.56	3.5112	24.686	0.035575	supercritical
160.00	12.867	186.60	0.0053590	22.093	25.128	90.583	37.240	58.499	306.58	3.5076	24.702	0.035607	supercritical
160.00	12.900	187.16	0.0053431	22.087	25.121	90.549	37.247	58.550	306.61	3.5039	24.718	0.035638	supercritical
160.00	12.933	187.72	0.0053272	22.082	25.114	90.515	37.254	58.602	306.63	3.5002	24.735	0.035669	supercritical
160.00	12.967	188.27	0.0053114	22.076	25.107	90.481	37.261	58.654	306.65	3.4965	24.751	0.035701	supercritical
160.00	13.000	188.83	0.0052957	22.070	25.100	90.448	37.269	58.705	306.68	3.4928	24.767	0.035732	supercritical
160.00	13.033	189.39	0.0052801	22.065	25.093	90.414	37.276	58.757	306.70	3.4890	24.784	0.035764	supercritical
160.00	13.067	189.95	0.0052646	22.059	25.087	90.380	37.283	58.809	306.73	3.4853	24.800	0.035795	supercritical
160.00	13.100	190.51	0.0052491	22.054	25.080	90.347	37.290	58.861	306.76	3.4816	24.817	0.035827	supercritical
160.00	13.133	191.07	0.0052338	22.048	25.073	90.313	37.298	58.912	306.78	3.4779	24.833	0.035859	supercritical
160.00	13.167	191.63	0.0052185	22.042	25.066	90.280	37.305	58.964	306.81	3.4741	24.850	0.035891	supercritical
160.00	13.200	192.19	0.0052033	22.037	25.059	90.246	37.312	59.016	306.84	3.4704	24.866	0.035922	supercritical
160.00	13.233	192.75	0.0051882	22.031	25.052	90.213	37.319	59.068	306.86	3.4666	24.883	0.035954	supercritical
160.00	13.267	193.31	0.0051731	22.025	25.046	90.180	37.326	59.119	306.89	3.4629	24.900	0.035986	supercritical
160.00	13.300	193.87	0.0051582	22.020	25.039	90.147	37.334	59.171	306.92	3.4591	24.916	0.036018	supercritical
160.00	13.333	194.43	0.0051433	22.014	25.032	90.113	37.341	59.223	306.95	3.4553	24.933	0.036050	supercritical
160.00	13.367	194.99	0.0051285	22.008	25.025	90.080	37.348	59.275	306.98	3.4516	24.950	0.036083	supercritical
160.00	13.400	195.55	0.0051138	22.003	25.018	90.047	37.355	59.327	307.01	3.4478	24.967	0.036115	supercritical
160.00	13.433	196.11	0.0050991	21.997	25.012	90.014	37.362	59.379	307.04	3.4440	24.984	0.036147	supercritical
